POINT_X,POINT_Y,ID_1
13523430.38,3658972.566,0
13522667.73,3658925.974,1
13525367,3667964.846,2
13524944.1,3668771.19,3
13528167.69,3658909.446,4
13525645.86,3670471.837,5
13563014.36,3628191.449,6
13509860.86,3660421.948,7
13514424.96,3660647.908,8
13517332.07,3654536.457,9
13528353.81,3662622.377,10
13529029.08,3666293.846,11
13529142.85,3668822.378,12
13570691.73,3626659.263,13
13546814.37,3657640.863,14
13528126.61,3671568.864,15
13550572.41,3665028.668,16
13521183.17,3673511.731,17
13558579.73,3620563.679,18
13542468.79,3656744.553,19
13529929.76,3652568.357,20
13528000.26,3657358.742,21
13524765.1,3661868.115,22
13536166.55,3668629.741,23
13526091.58,3658645.386,24
13526490.66,3659563.309,25
13527023.55,3662359.799,26
13513635.15,3661527.19,27
13528777.38,3656635.381,28
13530281.76,3670634.933,29
13529810.1,3671154.194,30
13523992.76,3663444.515,31
13526273.14,3668098.473,32
13518323.59,3663329.035,33
13517737.61,3663199.104,34
13525403.07,3660602.351,35
13545022.91,3666883.899,36
13519782.21,3665484.018,37
13549684.08,3642966.391,38
13529794.4,3668226.502,39
13529652.13,3667540.14,40
13527708.27,3660584.91,41
13523820.55,3660591.158,42
13539938.94,3672325.936,43
13529916.07,3675310.904,44
13534662.96,3668441.014,45
13519408.96,3661071.596,46
13540146.22,3655443.796,47
13516799.63,3660393.443,48
13518828.43,3662895.636,49
13549855.62,3661637.056,50
13556050.88,3643265.21,51
13539422.87,3647032.461,52
13517982.62,3664520.342,53
13522581.79,3666435.79,54
13525447.04,3656451.262,55
13525580.96,3663888.349,56
13512570.27,3668938.561,57
13535584.24,3650206.506,58
13517360.68,3666861.76,59
13554583.25,3648554.038,60
13516459.88,3659338.019,61
13516159.32,3658581.616,62
13529731.5,3668865.491,63
13530018.82,3669967.715,64
13508329.44,3670374.659,65
13523206.73,3654989.077,66
13511210.17,3659338.019,67
13524596.34,3675789.833,68
13538655.88,3659371.467,69
13531778.11,3668265.575,70
13553751.13,3637801.3,71
13536458.87,3648449.231,72
13535881.13,3639326.16,73
13530265.84,3668244.866,74
13508826.59,3661106.481,75
13520220.92,3648558.07,76
13517898.91,3658964.497,77
13519802.14,3667305.978,78
13515807.66,3652023.215,79
13523831.9,3654297.729,80
13521077.97,3668885.94,81
13526725.43,3665769.841,82
13528796.42,3651172.054,83
13519045.06,3657064.266,84
13544343.08,3657491.213,85
13538638.29,3675753.864,86
13526297.08,3666772.424,87
13520896.86,3670542.442,88
13517643.65,3662345.479,89
13553661.19,3639015.092,90
13513229.95,3666574.739,91
13522702.35,3672325.024,92
13517038.86,3671744.35,93
13533455.81,3664626.068,94
13559459.71,3621142.599,95
13523177.9,3670075.572,96
13533425.75,3666054.629,97
13521838.28,3662655.183,98
13517201.38,3670707.232,99
13509684.42,3663406.759,100
13527986.13,3664000.709,101
13535819.23,3635884.189,102
13524456.41,3671644.556,103
13515657.71,3655230.551,104
13568372.84,3622639.327,105
13519122.98,3648473.027,106
13521357.83,3667245.029,107
13521464.92,3666642.587,108
13522510.21,3670085.732,109
13541633.56,3635703.627,110
13537749.29,3671439.107,111
13529028.63,3669657.436,112
13518682.6,3674008.572,113
13515856.31,3663464.564,114
13528007.5,3655877.323,115
13515243.83,3664037.295,116
13534432.41,3647665.02,117
13534510.23,3634149.99,118
13521628.34,3665912.43,119
