OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
1,B0FFGLW7V9,[],万福寺,风景名胜;风景名胜;寺庙道观,宝钱公路泉泾村,13485062.11,3681741.19,110205,310000,上海市,21,上海市,310114,嘉定区,
2,B0FFL1QOSR,[],毛桥党建公园,风景名胜;公园广场;公园,霜竹公路155号西北60米,13497923.52,3694566.742,110101,310000,上海市,21,上海市,310114,嘉定区,
3,B00155Q88P,[],菩提禅寺,风景名胜;风景名胜;寺庙道观,安亭镇永安街422号,13486503.59,3671609.641,110205,310000,上海市,21,上海市,310114,嘉定区,
4,B0FFG6Y4RE,[],京城禅寺,风景名胜;风景名胜;寺庙道观,公塘子村附近,13488386,3687989.739,110205,310000,上海市,21,上海市,310114,嘉定区,
5,B00156R4MG,[],药师殿,风景名胜;风景名胜;寺庙道观,葛隆村609号,13486614.79,3683731.183,110205,310000,上海市,21,上海市,310114,嘉定区,
6,B00156E075,[],安亭耶稣堂,风景名胜;风景名胜;教堂,安亭镇蓬青东路116号,13485157.73,3672350.56,110206,310000,上海市,21,上海市,310114,嘉定区,
7,B0FFLJU1YM,[],吴淞滨江公园,风景名胜;公园广场;公园,白虬江路(时代名邸二期南侧),13484894.13,3668779.787,110101,310000,上海市,21,上海市,310118,青浦区,
8,B0FFKSQM5Z,[],上海市小滨江广场,风景名胜;公园广场;公园广场,上海市青浦区白鹤镇白虬江路附近,13484482.69,3668919.545,110100,310000,上海市,21,上海市,310118,青浦区,
9,B0FFGPYSVT,[],永隆寺,风景名胜;风景名胜;寺庙道观,合付路与沙南西路交叉口东南100米,13515194.63,3736330.322,110205,310000,上海市,21,上海市,310151,崇明区,
10,B0FFFHOQQ4,[],枫叶岛,风景名胜;公园广场;公园,廊华路,13489190.28,3603734.629,110101,310000,上海市,21,上海市,310116,金山区,
11,B00156R2IJ,[],城隍庙,风景名胜;风景名胜;寺庙道观,廊下镇廊下大街24弄5号,13491300.56,3605048.369,110205,310000,上海市,21,上海市,310116,金山区,
12,B0FFH104C4,[],琮璞文化苑,风景名胜;风景名胜;风景名胜|科教文化服务;文化宫;文化宫,Y610(廊华路),13487997.94,3603661.166,110200|140800,310000,上海市,21,上海市,310116,金山区,
13,B0FFHD5NLP,[],天命堂,风景名胜;风景名胜;教堂,友好下塘街43号,13470965.94,3617905.172,110206,310000,上海市,21,上海市,310116,金山区,
14,B0FFK0AB63,[],枫溪公园,风景名胜;公园广场;公园,枫泾镇新泾路45号,13471629.97,3617895.573,110101,310000,上海市,21,上海市,310116,金山区,
15,B0FFFQZR67,[],廊下镇社区文化活动中心,科教文化服务;文化宫;文化宫,新村路28号,13491363.79,3605132.985,140800,310000,上海市,21,上海市,310116,金山区,
16,B001576RJS,[],褚家栅天主堂,风景名胜;风景名胜;教堂,枫泾镇建安路168号,13478291.55,3613492.446,110206,310000,上海市,21,上海市,310116,金山区,
17,B00156GCJ2,[],枫泾天主堂,风景名胜;风景名胜;教堂,枫泾镇农兴村庙港1007号,13472170.76,3618069.52,110206,310000,上海市,21,上海市,310116,金山区,
18,B0GK45PQJ0,[],双庙村综合文化活动中心,商务住宅;住宅区;社区中心,[],13476242.38,3613552.352,120304,310000,上海市,21,上海市,310116,金山区,
19,B0GKSDKKUI,[],梧桐禅寺,风景名胜;风景名胜;寺庙道观,枫泾镇新新村13组,13473073.22,3610649.936,110205,310000,上海市,21,上海市,310116,金山区,
20,B001556VYJ,B001556VY1,枫泾镇社区文化活动中心,科教文化服务;文化宫;文化宫,枫泾镇枫丽路147号,13471394.64,3618041.372,140800,310000,上海市,21,上海市,310116,金山区,
21,B0FFM5D4PT,[],沪西工人文化宫,科教文化服务;文化宫;文化宫,武宁路225号(近曹杨路),13516462,3663766.745,140800,310000,上海市,21,上海市,310107,普陀区,
22,B0FFKSTRS6,[],弘御文化馆,政府机构及社会团体;社会团体;行业协会|科教文化服务;文化宫;文化宫,中山北路2911号中关村科技大厦辅楼518,13516037.09,3664029.353,130407|140800,310000,上海市,21,上海市,310107,普陀区,
