OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
1,B001576FSA,[],向阳社区卫生服务站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,展阳路与泗泾路交叉口西南150米,13484885.89,3672170.245,090000,310000,上海市,21,上海市,310114,嘉定区,
2,B0FFLB08BV,[],嘉定区双拥疗养院,体育休闲服务;度假疗养场所;疗养院,鸵鸟路,13485161.52,3672973.477,080402,310000,上海市,21,上海市,310114,嘉定区,
3,B00155IJYY,[],红梅社区卫生服务站,医疗保健服务;综合医院;卫生院,安亭镇昌吉路231弄-2号,13487408.17,3671097.656,090102,310000,上海市,21,上海市,310114,嘉定区,
4,B0H6MNDLY4,[],上海瑞宇口腔门诊,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路与昌吉路交叉路口往西北约150米(安亭新苑),13486969.57,3671315.345,090000,310000,上海市,21,上海市,310114,嘉定区,
5,B0FFJYESLH,[],瑞伢美口腔连锁(瑞亭门诊部),医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路576号安亭新苑底商,13486983.59,3671271.833,090000,310000,上海市,21,上海市,310114,嘉定区,
6,B0G3UPYHMS,[],今辉手足修复护理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇昌吉路243号,13487280.82,3671140.776,090000,310000,上海市,21,上海市,310114,嘉定区,
7,B00156STTK,[],珍奥(新源路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路685弄5号附近,13486802.59,3671498.774,090000,310000,上海市,21,上海市,310114,嘉定区,
8,B0FFMB5ZA2,[],安亭镇病媒生物防制服务站,医疗保健服务;疾病预防机构;疾病预防,阜康西路200号附近,13487353.84,3671588.927,090500,310000,上海市,21,上海市,310114,嘉定区,
9,B0FFLEO54B,[],福元堂古法经疗,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路693-2号2层,13486809.83,3671582.152,090000,310000,上海市,21,上海市,310114,嘉定区,
10,B0FFM1PIL9,[],梵诺姿皮肤养生健康管理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路685弄4号,13486732.35,3671470.765,090000,310000,上海市,21,上海市,310114,嘉定区,
11,B0FFHNTLFY,[],老艾堂(上海安亭店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇阜康西路245号,13487081.89,3671537.858,090000,310000,上海市,21,上海市,310114,嘉定区,
12,B0FFM7HTJ2,[],博士园养发馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],13487305.64,3670722.343,090000,310000,上海市,21,上海市,310114,嘉定区,
13,B0FFGODY87,[],扬州一刀(昌吉路),医疗保健服务;医疗保健服务场所;医疗保健服务场所,昌吉路231弄2幢,13487458.71,3671124.622,090000,310000,上海市,21,上海市,310114,嘉定区,
14,B0FFG9523M,[],安亭镇社区卫生服务中心邢永娟工作室,医疗保健服务;综合医院;卫生院,昌吉路227号甲2附近,13487411.95,3671097.395,090102,310000,上海市,21,上海市,310114,嘉定区,
15,B0FFI7P21T,B00155IR78,上海嘉正口腔门诊部,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇墨玉路29号1幢2层,13487925.69,3670359.678,090000,310000,上海市,21,上海市,310114,嘉定区,
16,B0G3MUZ8WQ,[],姿琪产后恢复中心(嘉亭荟店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,墨玉南路1033号嘉亭大厦306室,13487736.78,3670175.614,090000,310000,上海市,21,上海市,310114,嘉定区,
17,B0GR2UA1EF,B0FFJPS6HY,雨朵催乳产后恢复中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇财富广场南楼2111,13487595.85,3670459.723,090000,310000,上海市,21,上海市,310114,嘉定区,
18,B0FFK86S4Q,[],爱心献血屋(嘉葶荟生活广场),医疗保健服务;医疗保健服务场所;医疗保健服务场所,曹安公路近新源路口,13487509.8,3670258.592,090000,310000,上海市,21,上海市,310114,嘉定区,
