OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
1,BV10037668,[],青赵公路白米泾(公交站),交通设施服务;公交车站;公交车站相关,青浦23路,13478399.42,3658061.844,150700,310000,上海市,21,上海市,310118,青浦区,
2,BV11480591,[],复兴路新华村(公交站),交通设施服务;公交车站;公交车站相关,朱家角1路,13472491.58,3650617.869,150700,310000,上海市,21,上海市,310118,青浦区,
3,BV10561710,[],洋桥村(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,13503812.99,3697717.07,150700,310000,上海市,21,上海市,310113,宝山区,
4,BV10561709,[],蕰川公路蕰杨路(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,13503924.31,3697599.83,150700,310000,上海市,21,上海市,310113,宝山区,
5,BV10035600,[],浏岛休养院(公交站),交通设施服务;公交车站;公交车站相关,嘉定64路,13495977.43,3695312.445,150700,310000,上海市,21,上海市,310114,嘉定区,
6,BV10819297,[],新陆(公交站),交通设施服务;公交车站;公交车站相关,宝山86路,13505994.85,3697440.944,150700,310000,上海市,21,上海市,310113,宝山区,
7,BV10561711,[],蕰川公路沪新路(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,13505716.44,3696958.948,150700,310000,上海市,21,上海市,310113,宝山区,
8,BV10823082,[],南王宅(公交站),交通设施服务;公交车站;公交车站相关,宝山86路,13506291.4,3697128.271,150700,310000,上海市,21,上海市,310113,宝山区,
9,BV11377401,[],外钱公路宝钱公路(公交站),交通设施服务;公交车站;公交车站相关,嘉定57路,13484037.64,3680712.222,150700,310000,上海市,21,上海市,310114,嘉定区,
10,BV11378596,[],新池村(公交站),交通设施服务;公交车站;公交车站相关,青金线新池村,13459215.95,3635165.852,150700,310000,上海市,21,上海市,310118,青浦区,
11,BV11255873,[],新池村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,青金线,13459199.59,3635165.593,150700,310000,上海市,21,上海市,310118,青浦区,
12,BV11101102,[],向阳村(公交站),交通设施服务;公交车站;公交车站相关,嘉定108路,13484932.64,3672403.587,150700,310000,上海市,21,上海市,310114,嘉定区,
13,BV10872007,[],蓬青路曹浦路(公交站),交通设施服务;公交车站;公交车站相关,花桥区域221路;花桥区域222路,13485152.17,3672279.294,150700,310000,上海市,21,上海市,310114,嘉定区,
14,BV11101103,[],鸵鸟路向阳路(公交站),交通设施服务;公交车站;公交车站相关,嘉定108路,13485098.62,3672955.627,150700,310000,上海市,21,上海市,310114,嘉定区,
15,BV10416308,[],商周公路混堂浜(公交站),交通设施服务;公交车站;公交车站相关,青商线;青商线区间,13455781.63,3648260.293,150700,310000,上海市,21,上海市,310118,青浦区,
16,BV11447320,[],东航路元荡桥(公交站),交通设施服务;公交车站;公交车站相关,示范区1路,13458518.2,3639507.165,150700,310000,上海市,21,上海市,310118,青浦区,
17,BV10382463,[],蔡家路小巷泾(公交站),交通设施服务;公交车站;公交车站相关,白鹤4路,13477308.04,3667015.691,150700,310000,上海市,21,上海市,310118,青浦区,
18,BV11406912,[],蔡家路小巷泾村(公交站),交通设施服务;公交车站;公交车站相关,白鹤4路,13477347.89,3667042.389,150700,310000,上海市,21,上海市,310118,青浦区,
19,BV10026750,[],安亭(地铁站),交通设施服务;地铁站;地铁站,11号线,13487690.47,3670272.01,150500,310000,上海市,21,上海市,310114,嘉定区,
20,BV10027223,[],安亭地铁站(公交站),交通设施服务;公交车站;公交车站相关,嘉定112路;嘉定114路;嘉定116路;嘉虹3线;安虹线,13487843.65,3670198.28,150700,310000,上海市,21,上海市,310114,嘉定区,
21,BV10860085,[],墨玉路曹安公路(公交站),交通设施服务;公交车站;公交车站相关,陆安线(高速),13487843.98,3670192.809,150700,310000,上海市,21,上海市,310114,嘉定区,
22,BV10860087,[],墨玉路博园路(公交站),交通设施服务;公交车站;公交车站相关,陆安线(高速),13487971.89,3669289.462,150700,310000,上海市,21,上海市,310114,嘉定区,
23,BV10033836,[],墨玉南路博园路(公交站),交通设施服务;公交车站;公交车站相关,嘉定112路;嘉定114路;嘉定116路,13487987.14,3669294.411,150700,310000,上海市,21,上海市,310114,嘉定区,
