id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B001576FSA,[],向阳社区卫生服务站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,展阳路与泗泾路交叉口西南150米,121.136791,31.303061,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFLB08BV,[],嘉定区双拥疗养院,体育休闲服务;度假疗养场所;疗养院,鸵鸟路,121.139267,31.309226,080402,310000,上海市,21,上海市,310114,嘉定区,
B00155IJYY,[],红梅社区卫生服务站,医疗保健服务;综合医院;卫生院,安亭镇昌吉路231弄-2号,121.159449,31.294828,090102,310000,上海市,21,上海市,310114,嘉定区,
B0H6MNDLY4,[],上海瑞宇口腔门诊,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路与昌吉路交叉路口往西北约150米(安亭新苑),121.155509,31.296499,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFJYESLH,[],瑞伢美口腔连锁(瑞亭门诊部),医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路576号安亭新苑底商,121.155635,31.296165,090000,310000,上海市,21,上海市,310114,嘉定区,
B0G3UPYHMS,[],今辉手足修复护理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇昌吉路243号,121.158305,31.295159,090000,310000,上海市,21,上海市,310114,嘉定区,
B00156STTK,[],珍奥(新源路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路685弄5号附近,121.154009,31.297907,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFMB5ZA2,[],安亭镇病媒生物防制服务站,医疗保健服务;疾病预防机构;疾病预防,阜康西路200号附近,121.158961,31.298599,090500,310000,上海市,21,上海市,310114,嘉定区,
B0FFLEO54B,[],福元堂古法经疗,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路693-2号2层,121.154074,31.298547,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFM1PIL9,[],梵诺姿皮肤养生健康管理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新源路685弄4号,121.153378,31.297692,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFHNTLFY,[],老艾堂(上海安亭店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇阜康西路245号,121.156518,31.298207,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFM7HTJ2,[],博士园养发馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.158528,31.291947,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFGODY87,[],扬州一刀(昌吉路),医疗保健服务;医疗保健服务场所;医疗保健服务场所,昌吉路231弄2幢,121.159903,31.295035,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFG9523M,[],安亭镇社区卫生服务中心邢永娟工作室,医疗保健服务;综合医院;卫生院,昌吉路227号甲2附近,121.159483,31.294826,090102,310000,上海市,21,上海市,310114,嘉定区,
B0FFI7P21T,B00155IR78,上海嘉正口腔门诊部,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇墨玉路29号1幢2层,121.164098,31.289163,090000,310000,上海市,21,上海市,310114,嘉定区,
B0G3MUZ8WQ,[],姿琪产后恢复中心(嘉亭荟店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,墨玉南路1033号嘉亭大厦306室,121.162401,31.28775,090000,310000,上海市,21,上海市,310114,嘉定区,
B0GR2UA1EF,B0FFJPS6HY,雨朵催乳产后恢复中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,安亭镇财富广场南楼2111,121.161135,31.289931,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFK86S4Q,[],爱心献血屋(嘉葶荟生活广场),医疗保健服务;医疗保健服务场所;医疗保健服务场所,曹安公路近新源路口,121.160362,31.288387,090000,310000,上海市,21,上海市,310114,嘉定区,
