id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
BV10037668,[],青赵公路白米泾(公交站),交通设施服务;公交车站;公交车站相关,青浦23路,121.078522,31.19471,150700,310000,上海市,21,上海市,310118,青浦区,
BV11480591,[],复兴路新华村(公交站),交通设施服务;公交车站;公交车站相关,朱家角1路,121.025451,31.137491,150700,310000,上海市,21,上海市,310118,青浦区,
BV10561710,[],洋桥村(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,121.306816,31.498941,150700,310000,上海市,21,上海市,310113,宝山区,
BV10561709,[],蕰川公路蕰杨路(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,121.307816,31.498043,150700,310000,上海市,21,上海市,310113,宝山区,
BV10035600,[],浏岛休养院(公交站),交通设施服务;公交车站;公交车站相关,嘉定64路,121.236428,31.480521,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10819297,[],新陆(公交站),交通设施服务;公交车站;公交车站相关,宝山86路,121.326416,31.496826,150700,310000,上海市,21,上海市,310113,宝山区,
BV10561711,[],蕰川公路沪新路(公交站),交通设施服务;公交车站;公交车站相关,宝山81路,121.323915,31.493134,150700,310000,上海市,21,上海市,310113,宝山区,
BV10823082,[],南王宅(公交站),交通设施服务;公交车站;公交车站相关,宝山86路,121.32908,31.494431,150700,310000,上海市,21,上海市,310113,宝山区,
BV11377401,[],外钱公路宝钱公路(公交站),交通设施服务;公交车站;公交车站相关,嘉定57路,121.129171,31.368602,150700,310000,上海市,21,上海市,310114,嘉定区,
BV11378596,[],新池村(公交站),交通设施服务;公交车站;公交车站相关,青金线新池村,120.906194,31.018607,150700,310000,上海市,21,上海市,310118,青浦区,
BV11255873,[],新池村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,青金线,120.906047,31.018605,150700,310000,上海市,21,上海市,310118,青浦区,
BV11101102,[],向阳村(公交站),交通设施服务;公交车站;公交车站相关,嘉定108路,121.137211,31.304852,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10872007,[],蓬青路曹浦路(公交站),交通设施服务;公交车站;公交车站相关,花桥区域221路;花桥区域222路,121.139183,31.303898,150700,310000,上海市,21,上海市,310114,嘉定区,
BV11101103,[],鸵鸟路向阳路(公交站),交通设施服务;公交车站;公交车站相关,嘉定108路,121.138702,31.309089,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10416308,[],商周公路混堂浜(公交站),交通设施服务;公交车站;公交车站相关,青商线;青商线区间,120.875343,31.119362,150700,310000,上海市,21,上海市,310118,青浦区,
BV11447320,[],东航路元荡桥(公交站),交通设施服务;公交车站;公交车站相关,示范区1路,120.899926,31.052023,150700,310000,上海市,21,上海市,310118,青浦区,
BV10382463,[],蔡家路小巷泾(公交站),交通设施服务;公交车站;公交车站相关,白鹤4路,121.068718,31.263489,150700,310000,上海市,21,上海市,310118,青浦区,
BV11406912,[],蔡家路小巷泾村(公交站),交通设施服务;公交车站;公交车站相关,白鹤4路,121.069076,31.263694,150700,310000,上海市,21,上海市,310118,青浦区,
BV10026750,[],安亭(地铁站),交通设施服务;地铁站;地铁站,11号线,121.161985,31.28849,150500,310000,上海市,21,上海市,310114,嘉定区,
BV10027223,[],安亭地铁站(公交站),交通设施服务;公交车站;公交车站相关,嘉定112路;嘉定114路;嘉定116路;嘉虹3线;安虹线,121.163361,31.287924,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10860085,[],墨玉路曹安公路(公交站),交通设施服务;公交车站;公交车站相关,陆安线(高速),121.163364,31.287882,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10860087,[],墨玉路博园路(公交站),交通设施服务;公交车站;公交车站相关,陆安线(高速),121.164513,31.280947,150700,310000,上海市,21,上海市,310114,嘉定区,
